klyuch,hozyaistvo,vino,vivino_id,vivino_adres,vivino_status,etiketok,v_knige,est_u_kritikov,rejon,vinogorje,rejon_istochnik,cvet
aleksandrovic-trijumf-chardonnay-sparkling,Aleksandrović,Trijumf Chardonnay Sparkling,4173726,https://www.vivino.com/w/4173726,ocenka_est,1061,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,игристое
aleksandrovic-trijumf-gold,Aleksandrović,Trijumf Gold,1758072,https://www.vivino.com/w/1758072,ocenka_est,3676,True,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,белое
aleksandrovic-trijumf-grappa,Aleksandrović,Trijumf Grappa,6643432,https://www.vivino.com/w/6643432,malo_ocenok,10,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,десертное
aleksandrovic-trijumf-late-harvest,Aleksandrović,Trijumf Late Harvest,3756606,https://www.vivino.com/w/3756606,ocenka_est,227,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,десертное
aleksandrovic-trijumf-noir,Aleksandrović,Trijumf Noir,1511794,https://www.vivino.com/w/1511794,ocenka_est,5088,True,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,красное
aleksandrovic-trijumf-noir-brut,Aleksandrović,Trijumf Noir Brut,10319050,https://www.vivino.com/w/10319050,ocenka_est,71,True,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,игристое
aleksandrovic-trijumf-noir-sparkling,Aleksandrović,Trijumf Noir Sparkling,6368544,https://www.vivino.com/w/6368544,ocenka_est,483,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,игристое
aleksandrovic-trijumf-noir-penusavac,Aleksandrović,Trijumf Noir penušavac,,,net_na_vivino,,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
aleksandrovic-trijumf-penusavac-rose,Aleksandrović,Trijumf Penušavac Rose,,,net_na_vivino,,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
aleksandrovic-trijumf-prokupac,Aleksandrović,Trijumf Prokupac,,,net_na_vivino,,True,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
aleksandrovic-trijumf-rose-extra,Aleksandrović,Trijumf Rose Extra,6643442,https://www.vivino.com/w/6643442,malo_ocenok,38,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,игристое
aleksandrovic-trijumf-rose-penusavo,Aleksandrović,Trijumf Rose penušavo,,,net_na_vivino,,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
aleksandrovic-trijumf-rose,Aleksandrović,Trijumf Rosé,1552679,https://www.vivino.com/w/1552679,ocenka_est,1788,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,розе
aleksandrovic-trijumf-rose-brut,Aleksandrović,Trijumf Rosé Brut,10040270,https://www.vivino.com/w/10040270,ocenka_est,81,True,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,игристое
aleksandrovic-trijumf-rose-pinot-noir,Aleksandrović,Trijumf Rosé Pinot Noir,,,net_na_vivino,,True,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
aleksandrovic-trijumf-selection,Aleksandrović,Trijumf Selection,1171282,https://www.vivino.com/w/1171282,ocenka_est,9514,True,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,белое
aleksandrovic-trijumf-selection-sauvignon-blanc,Aleksandrović,Trijumf Selection Sauvignon Blanc,,,net_na_vivino,,True,True,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
aleksandrovic-trijumf-terroir,Aleksandrović,Trijumf Terroir,7775318,https://www.vivino.com/w/7775318,ocenka_est,594,True,True,Šumadijski rejon,Oplenačko vinogorje,konkurs,белое
aleksandrovic-trijumf-kasna-berba,Aleksandrović,Trijumf kasna berba,,,net_na_vivino,,True,False,Šumadijski rejon,Oplenačko vinogorje,hozyaistvo,
